type d'organisme BOSPL,code pivot organisme,url 
Agence départementale d'information sur le logement (Adil) de Saône-et-Loire,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil71.org
Agence départementale d'information sur le logement (Adil) de Saône-et-Loire,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil71.org
Agence départementale d'information sur le logement (Adil) de Saône-et-Loire - Le Creusot,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil71.org
Agence départementale d'information sur le logement (Adil) de Saône-et-Loire - Paray-le-Monial,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil71.org
Agence départementale d'information sur le logement (Adil) de Sarcelles,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil95.org
Agence départementale d'information sur le logement (Adil) des Ardennes,"Information sur le logement (agence départementale, Adil)",adil,http://www.anil.org
Agence départementale d'information sur le logement (Adil) des Bouches-du-Rhône,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil13.org
Agence départementale d'information sur le logement (Adil) des Bouches-du-Rhône - Aix-en-Provence,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil13.org
Agence départementale d'information sur le logement (Adil) des Côtes-d'Armor,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil22.org
Agence départementale d'information sur le logement (Adil) des Deux-Sèvres,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil79.org
Agence départementale d'information sur le logement (Adil) de Seine-et-Marne - Meaux,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil77.org
Agence départementale d'information sur le logement (Adil) de Seine-et-Marne - Melun,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil77.org
Agence départementale d'information sur le logement (Adil) de Seine-et-Marne - Serris Marne-la-Vallée,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil77.org
Agence départementale d'information sur le logement (Adil) de Seine-Maritime,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil76.org
Agence départementale d'information sur le logement (Adil) de Seine-Saint-Denis,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil93.org
Agence départementale d'information sur le logement (Adil) des Hautes-Alpes,"Information sur le logement (agence départementale, Adil)",adil,http://www.anil.org
Agence départementale d'information sur le logement (Adil) des Hautes-Pyrénées,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil65.org
Agence départementale d'information sur le logement (Adil) des Hauts-de-Seine,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil92.org
Agence départementale d'information sur le logement (Adil) des Hauts-de-Seine,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil92.org
Agence départementale d'information sur le logement (Adil) des Landes,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil40.fr
Agence départementale d'information sur le logement (Adil) des Landes - Mont-de-Marsan,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil40.fr
Agence départementale d'information sur le logement (Adil) des Pyrénées-Atlantiques,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil64.org
Agence départementale d'information sur le logement (Adil) des Pyrénées-Atlantiques - Bayonne,"Information sur le logement (agence départementale, Adil)",adil,http://www.adil64.org
